response_id,department,respect_score,communication_score,fairness_score,belonging_score,comment
1,Operations,4,3,3,4,"My team is supportive, but leadership communication could be clearer."
2,Human Resources,5,4,4,5,"I feel respected and included, and my manager listens when I raise concerns."
3,Sales,3,2,2,3,"Expectations change quickly, and it is not always clear who owns decisions."
4,Customer Support,4,4,3,4,"The team culture is positive, but advancement opportunities feel unclear."
5,Operations,2,2,2,2,"I do not always feel comfortable speaking up during meetings."
6,Finance,4,5,4,4,"Communication from leadership has improved, and I understand my goals."
7,Sales,3,3,2,3,"Some people seem to get more development opportunities than others."
8,Customer Support,5,4,5,5,"My supervisor recognizes good work and encourages feedback."
9,Operations,3,2,3,3,"We need more consistent updates about policy and scheduling changes."
10,Human Resources,4,4,4,4,"I feel like my ideas are considered, and the work environment is respectful."
11,Finance,2,3,2,2,"Career growth feels limited, and I am unsure how promotions are decided."
12,Sales,4,3,3,4,"Coworkers are supportive, but communication across departments could improve."
13,Customer Support,3,3,3,3,"The workload is manageable most days, but feedback from leadership is inconsistent."
14,Operations,5,4,4,5,"I feel included on my team and comfortable asking questions."
15,Human Resources,4,5,4,4,"Leadership communicates expectations clearly and follows up on concerns."
